Year,Federal_Funds_Rate,CPIAUCNS,USD_Exchange_Rate,PPIACO,Unemployement_Rate,Industrial_Production_Index,Retail_Sales_Index,Inflation_Expectation,Oil_Price_WTI,M2SL,Avg_wage
1985,8.100833,107.5666667,0.390272,103.15,7.191667,54.7277,57.366601,4.916653,15.047689,2416.5,1847.999
1986,6.805,109.6083333,0.464922,100.1666667,7,55.282392,57.569703,4.9875,19.208512,2612.775,1961.526
1987,6.6575,113.625,0.703092,102.8083333,6.175,58.164158,54.093391,4.330888,15.965409,2782.258333,2107.867
1988,7.568333,118.2583333,1.141959,106.9416667,5.491667,61.1738,53.302746,4.575725,19.635486,2931.116667,2280.602
1989,9.216667,123.9666667,3.817224,112.2416667,5.258333,61.727817,51.595163,4.769654,24.526576,3054.025,2415.119
1990,8.099167,130.6583333,25.197349,116.2916667,5.616667,62.321442,54.685203,5.437113,21.541367,3222.233333,2564.522
1991,5.6875,136.1916667,28.055012,116.5333333,6.85,61.402983,57.63111,4.926744,20.575564,3342.1,2626.972
1992,3.521667,140.3166667,36.147679,117.1916667,7.491667,63.19915,59.571962,3.769444,18.4322,3404.566667,2781.676
1993,3.0225,144.4583333,48.101665,118.9083333,6.908333,65.275817,61.642336,3.492862,17.196429,3439.758333,2884.472
1994,4.201667,148.225,60.281941,120.45,6.1,68.713433,63.187232,3.260447,18.428885,3483.35,3033.677
1995,5.836667,152.3833333,64.320367,124.7583333,5.591667,71.898292,65.030765,3.302562,22.119173,3555.583333,3215.921
1996,5.298333,156.85,71.494137,127.6833333,5.408333,75.165983,66.19764,3.082532,20.608254,3728.95,3414.515
1997,5.46,160.5166667,86.931798,127.6,4.941667,80.56905,65.930328,2.743232,14.42227,3925.725,3674.032
1998,5.353333,163.0083333,92.61983,124.4333333,4.5,85.308242,63.632462,2.601422,19.34498,4206.533333,3967.072
1999,4.97,166.575,105.149018,125.475,4.216667,89.0374,64.510086,2.169087,30.37825,4518.133333,4235.579
2000,6.235833,172.2,115.262572,132.7416667,3.966667,92.489683,67.207274,2.676204,25.98312,4792.108333,4587.709
2001,3.8875,177.0666667,108.672146,134.1916667,4.741667,89.685383,71.154921,3.223758,26.14896,5209.083333,4695.225
2002,1.666667,179.875,108.259045,131.1166667,5.783333,89.976858,73.066297,3.225301,31.07524,5598.333333,4714.375
2003,1.1275,183.9583333,103.134389,138.125,5.991667,91.142117,75.314625,2.320499,41.506024,5988.283333,4826.252
2004,1.349167,188.8833333,96.833846,146.675,5.083333,93.578042,77.190499,2.210394,56.637251,6273.983333,5087.562
2005,3.213333,195.2916667,85.777915,157.4,5.541667,96.715125,79.454052,2.306821,66.054659,6541.241667,5351.949
2006,4.964167,201.5916667,82.315113,164.75,4.608333,98.921075,84.328447,2.291279,72.340595,6884.95,5692.569
2007,5.019167,207.3424167,73.344934,172.6583333,4.616667,101.457533,86.778467,2.754868,99.671502,7308.283333,6018.089
2008,1.9275,215.3025,63.924003,189.5916667,5.8,97.945867,86.742526,2.831965,61.950437,7804.391667,6142.159
2009,0.16,214.537,82.730533,172.9083333,9.283333,86.796533,87.260435,1.973974,79.475714,8433.575,5859.232
2010,0.175,218.0555,79.955529,184.7333333,9.608333,91.621717,88.895271,0.834263,94.888873,8645.825,5975.676
2011,0.101667,224.9391667,78.565393,201.05,8.933333,94.500492,91.871711,1.459989,94.953333,9277.116667,6217.286
2012,0.14,229.5939167,86.250291,202.1583333,8.075,97.364025,94.68068,2.169272,97.98254,10065.2,6491.224
2013,0.1075,232.9570833,83.82179,203.4083333,7.358333,99.326183,96.4586,1.942764,93.172222,10740.875,6672.644
2014,0.089167,236.7361667,83.662252,205.3166667,6.158333,102.305642,96.687001,1.974825,48.656706,11399.85833,7016.975
2015,0.1325,237.017,100,190.4416667,5.275,100.8622,91.508244,2.15736,43.293651,12056.35833,7384.948
2016,0.395,240.0071667,104.611649,185.375,4.875,98.695117,84.444954,2.558583,50.80032,12870.33333,7607.227
2017,1.001667,245.1195833,100.241109,193.5333333,4.358333,99.999992,87.77013,2.245255,65.22747,13596.71667,7968.336
2018,1.831667,251.1068333,95.787058,201.95,3.891667,103.156575,91.459219,2.416371,56.98832,14115.34167,8368.407
2019,2.158333,255.6574167,101.836436,199.8416667,3.675,102.431867,93.859018,2.521308,39.160437,14836.96667,8769.109
2020,0.375833,258.8111667,103.427111,194.375,8.1,95.124033,95.985939,2.158775,68.1351,17666.7,8905.607
2021,0.08,270.96975,102.403948,227.3444167,5.358333,99.3001,98.180047,2.388777,94.902869,20515.925,9720.962
2022,1.683333,292.6549167,118.235161,264.481,3.641667,102.712858,99.90886,5.419931,77.576532,21570.31667,10499.737
2023,5.024167,304.7015833,111.443546,255.7299167,3.633333,102.876608,101.16517,5.575052,76.63224,20825.39167,11076.974
2024,5.143333,313.6888333,110,254.5603333,4.033333,102.56215,103.913593,4.194443,69.871899,21113.91667,11350
